wl,n,k
2.07E-01,1.25E+00,1.77E+00
2.08E-01,1.26E+00,1.79E+00
2.09E-01,1.27E+00,1.81E+00
2.10E-01,1.27E+00,1.83E+00
2.11E-01,1.28E+00,1.85E+00
2.12E-01,1.29E+00,1.87E+00
2.13E-01,1.30E+00,1.90E+00
2.14E-01,1.30E+00,1.92E+00
2.15E-01,1.31E+00,1.94E+00
2.16E-01,1.32E+00,1.96E+00
2.17E-01,1.33E+00,1.99E+00
2.19E-01,1.34E+00,2.01E+00
2.20E-01,1.35E+00,2.03E+00
2.21E-01,1.36E+00,2.06E+00
2.22E-01,1.37E+00,2.08E+00
2.23E-01,1.39E+00,2.11E+00
2.24E-01,1.40E+00,2.14E+00
2.26E-01,1.41E+00,2.16E+00
2.27E-01,1.43E+00,2.19E+00
2.28E-01,1.44E+00,2.22E+00
2.29E-01,1.46E+00,2.25E+00
2.31E-01,1.48E+00,2.28E+00
2.32E-01,1.49E+00,2.31E+00
2.33E-01,1.51E+00,2.34E+00
2.34E-01,1.53E+00,2.37E+00
2.36E-01,1.55E+00,2.40E+00
2.37E-01,1.58E+00,2.44E+00
2.38E-01,1.60E+00,2.47E+00
2.40E-01,1.63E+00,2.51E+00
2.41E-01,1.66E+00,2.54E+00
2.43E-01,1.69E+00,2.58E+00
2.44E-01,1.72E+00,2.61E+00
2.45E-01,1.75E+00,2.65E+00
2.47E-01,1.79E+00,2.68E+00
2.48E-01,1.83E+00,2.72E+00
2.50E-01,1.87E+00,2.76E+00
2.51E-01,1.92E+00,2.79E+00
2.53E-01,1.97E+00,2.83E+00
2.54E-01,2.02E+00,2.86E+00
2.56E-01,2.08E+00,2.90E+00
2.58E-01,2.14E+00,2.93E+00
2.59E-01,2.20E+00,2.96E+00
2.61E-01,2.27E+00,2.99E+00
2.62E-01,2.34E+00,3.02E+00
2.64E-01,2.42E+00,3.04E+00
2.66E-01,2.50E+00,3.05E+00
2.67E-01,2.58E+00,3.07E+00
2.69E-01,2.67E+00,3.07E+00
2.71E-01,2.76E+00,3.07E+00
2.73E-01,2.85E+00,3.06E+00
2.74E-01,2.94E+00,3.05E+00
2.76E-01,3.03E+00,3.03E+00
2.78E-01,3.12E+00,2.99E+00
2.80E-01,3.21E+00,2.96E+00
2.82E-01,3.29E+00,2.91E+00
2.84E-01,3.36E+00,2.86E+00
2.86E-01,3.43E+00,2.80E+00
2.88E-01,3.50E+00,2.74E+00
2.90E-01,3.55E+00,2.67E+00
2.92E-01,3.60E+00,2.60E+00
